SKU FULL,size,id_manufacturer,variant,qty
232527ASC000002-9760R-os,OS,755076 3200Q,ROSE BLUSH BLACK,1
232A05UFE000003-LTHGR-l,L,5000006292,LIGHT GREY,1
232766ABS000004-FCH-os,OS,23PFTPCOFCHIRLSMA,FUCHSIA,3
232417FCR000002-KVO41-100,100,DCU4747 DVTP1,BLACK,10
232318DTS000001-WHITE-m,M,TSIW403W,WHITE,2
232923DBO000001-121A-l,L,S52NA0058 S20518,ALBA,1
232659NSN000001-7547-38,38,3701,BLACK,6
241571DFE000004-MDGMG-m,M,GWP01223 P000522,MEDIUM GREY MELANGE GOLD,1
241032NDE000009-GF9-39,39,4W2S0IB9TZE,ROSE CANNELLE,2
241633DFE000001-PLA-s,S,COFAX F27644,GRIS CHINE,1
241392FPP000001-VJCB-m,M,E8I00H B4A,MD BGE SLD,8
241392FPP000001-BK1-m,M,E8I00H B4A,BLK SLD,7
241400ABS000015-001-os,OS,2114240750036,NERO,9
232423DFX000002-1000-36,36,751688 TNV43,BLACK,1
232371NSN000001-WHITE-9,9,PL K104,WHITE,6
"232371NSN000001-WHITE-9,5","9,5",PL K104,WHITE,8
241417FCR000002-1B00V-95,95,1003760 DVTP1,BLACK VERSACE GOLD,5
241782ABS000018-CO-os,OS,MWSCSXT02,COGNAC,1
241671NSV000004-099-40,40,S2174,BLACK,1
241722DGE000002-008BA-42,42,LOGOS,BLUE CAMEL E,1
241722DIM000005-002EC-40,40,JTRENCH,ECRU,2
241783APG000005-Z99Q-os,OS,100249 A0F1,NERO ANTIQUE GOLD,10
241923ABS000006-T1013-os,OS,S54WD0039 P5691,ZENZERO,6
241589UBE000002-BLACK-xl,XL,IV5576,BLACK,2
241773NSN000014-EXWNT-39,39,VQ0201270A,EXTRA WHITE NATURAL,1
241516NSP000001-VBLKB-38,38,FITZ F PFP,V BLACK BLACK,1
241241XSN000018-BESMX-5,5,L47132900,BLACK EBONY SILVER METALLIC X,1
241392LSN000004-COC-7,7,LHSOY S4667Z,DK BGE SLD,3
241689UMA000001-V0020-l,L,8015539FA,BLEU,1
241684UTS000001-O197-m,M,MM00101KJ0118,BLACK WHITE,3
241754UGC000005-KX7T-l,L,NF0A831M,TNF BLACK TNF BLACK,1
241754UTS000004-X8A-s,S,NF0A3RX3,MID GREY HEATHER,1
241684UTS000007-P384-s,S,LM00110KJ0008,MILITARY GREEN,1
241783ABS000018-Z14QS-os,OS,102833 A1LF,BIANCO SETA ANTIQUE GOLD,6
241392UTS000002-N00NS-48,48,UDC9XA7 C10,NAT SLD,3
241659LSN000006-7547-43,43,5226,BLACK,2
241773NSN000018-BKWHD-36,36,XD0203638A,BLACK WHITE DUNE,2
241773NSN000018-BKWHD-37,37,XD0203638A,BLACK WHITE DUNE,6
241773NSN000018-BKWHD-38,38,XD0203638A,BLACK WHITE DUNE,6
241773NSN000018-BKWHD-39,39,XD0203638A,BLACK WHITE DUNE,7
241773NSN000018-BKWHD-40,40,XD0203638A,BLACK WHITE DUNE,1
241652NWE000001-2008-37,37,BLAUDELL 8ED 007,TOSTADO,3
241652NWE000001-2008-39,39,BLAUDELL 8ED 007,TOSTADO,3
241249UFE000003-404-s,S,50471981,DARK BLUE,1
241402FPG000001-79-os,OS,M1A 4832 BMULTI,BLACK,8
241895YPP000003-CPA-os,OS,C40135,BISCUIT BEIGE,1
241149ABS000002-001-os,OS,20222K20T,BLACK,7
241807FZA000002-1YKXX-os,OS,I031575,AGATE,6
241717DGN000005-015VA-42,42,WERTHER,VERDE ACQUA,2
241481FZA000005-A1189-os,OS,8080602,BLACK,1
241736UGC000011-402-m,M,16CMOS277A 006273G,PISTACHIO SHELL,1
241684UBE000003-O197-s,S,MM01111KM0321,BLACK WHITE,4
241684ABG000001-M000-os,OS,MW06605AP0007,MULTICOLOR,1
"241241XSN000027-NTCPK-5,5","5,5",L47468000,NATURAL CEMENT PLUM KITTEN,3
241895DGC000004-900-38,38,A70171,BLACK,1
241684UGC000001-P476-l,L,MM02105WQ0067,INK BLUE,2
241357NCX000007-BLK-39,39,5125,BLACK,1
242445ABS000022-964-os,OS,2S3HCR500H03,BLACK/MULTI,53
232807FPP000007-1TEXX-os,OS,I028876,HIGHLAND CASSIS,2
242445ABS000031-001-os,OS,M0017027,BLACK,19
242445ABS000009-372-os,OS,M0016161,SLATE GREEN,20
242445ABS000002-372-os,OS,M0016493,SLATE GREEN,20
241729NFL000002-BLKWC-38,38,ANE MESH CRYSTAL FLAT BLACK,BLACK WHITE CRYSTALS,1
242445ABS000019-001-os,OS,M0017025,BLACK,36
242445ABS000002-260-os,OS,M0016493,BEIGE,2
242445ABS000035-001-os,OS,2S3HMS002H03,BLACK,1
242608ABS000005-1000-os,OS,391698 W9132,BLACK,8
242445ABS000032-001-os,OS,M0017048,BLACK,20
242355NSV000002-200-38,38,214 907 813,BLACK,1
242633ABS000013-LZZ-os,OS,PXBMW F61413,NOIR,43
242633ABS000013-GAE-os,OS,PXBMW F61413,VINO,4
242450LSN000006-8B956-40,40,CS1772 AC330,NERO/NERO,1
242773NSN000012-EXWBK-37,37,CP0501537A,EXTRA WHITE BLACK,12
242773LSN000010-EXWCY-40,40,XD0202336B,EXTRA WHITE CYPRUS,4
242773LSN000010-EXWCY-41,41,XD0202336B,EXTRA WHITE CYPRUS,11
242773LSN000010-EXWCY-42,42,XD0202336B,EXTRA WHITE CYPRUS,12
242773LSN000010-EXWCY-43,43,XD0202336B,EXTRA WHITE CYPRUS,12
242773LSN000010-EXWCY-44,44,XD0202336B,EXTRA WHITE CYPRUS,12
242773LSN000010-EXWCY-45,45,XD0202336B,EXTRA WHITE CYPRUS,3
242633YBS000010-IAI-os,OS,COCSX M61445,INDIGO,38
242441NSV000002-50TA-36,36,BO0009FA A1A11S,TAUPE,1
242123NSD000001-C019-39,39,RVW45818820BSS,CIRE',2
"242400NSN000002-003RS-6,5","6,5",0306060774816,ROSE,2
242417ACR000001-2B56V-m,M,1016531 1A11659,BLACK+BEIGE-VERSACE GOLD,1
242512ABS000012-084-os,OS,CHC24UP237L17,WILD GREY,8
242773LSN000013-WHBKN-42,42,RR0102364B,WHITE BLACK NATURAL,2
242898DAB000005-BG246-m,M,DR1047 LJ1019,SOFT SAND,2
242149ABS000010-001-os,OS,20324K20L,BLACK,4
242149ABS000006-001-os,OS,20322R30T,BLACK,8
242007ABS000002-GEM-os,OS,DN1FE809TDCS,NATUREL/BROWN,2
242400FCR000009-012UM-115,115,67A1610749909,ULTRAMARIN,19
242633FBS000002-JAA-os,OS,CODBM H61318,KAKI,4
242468NFL000001-U901-39,39,WA050T VT737,BLACK,1
242736UFE000005-M94-l,L,17CMSS024A 005086W,GREYSTONE MELANGE,1
242380ABS000018-105-os,OS,BB60NAB1Q7,IVORY,2
242151APC000005-F0002-os,OS,5MB06M 2FPP,NERO,7
242445ABS000028-001-os,OS,H009L01SP21,BLACK,25
242411LSN000008-0109-42,42,OMIA227F24LEA001,WHITE - GREY,1
242411LSN000008-0109-43,43,OMIA227F24LEA001,WHITE - GREY,1
242411LSN000008-0109-44,44,OMIA227F24LEA001,WHITE - GREY,1
242146ABS000002-999-os,OS,6A000 01 M3873,BLACK,2
242773NSN000023-EXWNT-41,41,VD2003655A,EXTRA WHITE NATURAL,1
242449NFL000002-999-38,38,AA3E047CK150,NOIR,1
242718DFE000004-001NE-s,S,ZURCA,BLACK,5
242A45NSN000009-0VBT-39,39,HXW6670FL40TLN,B001+B008,1
242910DCD000001-200-2,2,8267600 K600,BLACK,1
242910DCD000001-200-4,4,8267600 K600,BLACK,2
242910DCD000001-200-6,6,8267600 K600,BLACK,1
242409DFE000001-86LC-36,36,SW0011FB B3M07E,LILAC,3
242149DGH000002-460-m,M,4DC1202645,DEEP BLUE/WHITE,1
242445ABS000023-001-os,OS,2S4HCR089H02,BLACK,5
242783APG000003-O81QC-os,OS,100062 A0GK,CIPRIA-ANTIQUE GOLD,20
242652NWE000002-203-39,39,CARINA 3 001,IVORY,4
242568XSP000030-MANTH-37,37,1001498,METALLIC ANTHRACITE,7
242355ASC000001-395-os,OS,213 894 808,DARK GREY MONOGRAM,2
242571NSN000004-10100-39,39,GWF00117 F004170,OPTIC  WHITE,1
242395FBS000015-1000-os,OS,625449 BTY0E,NERO,3
"242241XSN000008-WHWLR-8,5","8,5",L41252900,WHITE WHITE LUNAR ROCK,11
242568XSP000022-KHAKI-42,42,1026215,KHAKI,9
242571NSN000006-82704-39,39,GWF00126 F006128,ICE/TAUPE/BLACK/BROWN,1
242571LSN000019-81751-40,40,GMF00199 F003271,TAUPE/SILVER/WHITE,1
242530NSV000001-NERO-39,39,G73462 20GOM CLN,BLACK,1
242696FPP000006-013CN-os,OS,710548524013,CAFE TAN/NEWPORT NAVY,6
242362ABS000034-100-os,OS,20231 100 219 100,BLACK,3
242571NSN000016-10914-38,38,GWF00102 F002569,WHITE/ICE/LIGHT PINK,3
242727LSN000003-0EO2-7,7,XXM26L0IK71TNI,C416(SASSO SC)+B001(BIANCO)+S008(BRUCIATO SC),1
242689UCW000001-V0029-s,S,811511412,NERO,1
242A42DAB000008-A0006-8,8,24023212,OLIVE,1
242568XSP000024-A0012-38,38,1027355,PINK,8
242727LMO000009-S404-8,8,XXM59K00040RE0,FANGO,1
242694YPG000009-BLCK-os,OS,SA0641SE,BLACK,3
242568XSP000035-A0005-39,39,1028031,ZINFANDEL,1
242694YPG000010-BLCK-os,OS,SA3100SE,BLACK,6
242418UFE000001-00N15-48,48,FUMU0074X1 UTC397,SODIUM,1
242249UPL000006-404-xl,XL,50507803,DARK BLUE,1
242568XSP000051-TAUPE-38,38,051463,TAUPE,7
242568XSP000051-TAUPE-43,43,051463,TAUPE,8
242441NSN000005-CKBK-37,37,BK0013FA A4E11S,CHALK/BLACK,1
242571NSN000019-10283-39,39,GWF00117 F003771,WHITE/BLACK,2
242571LSN000018-90282-40,40,GMF00199 F003270,BLACK/SILVER/ICE,1
242717DCA000002-068-40,40,LUDMILLA,CAMMELLO,1
242571NSN000014-10449-38,38,GWF00796 F006378,OPTIC WHITE/SILVER,3
242834DGH000002-A0009-s,S,34028,DARK NAVY,1
242568XSP000015-TBCBW-37,37,352203,TABACCO BROWN,14
242568XSP000015-TBCBW-43,43,352203,TABACCO BROWN,15
242146FBS000003-999-os,OS,5L000 02 M3492,BLACK,1
242167UGB000002-300-40,40,BRCPS0001BCNY1,DARK NAVY,2
242411FBS000003-1000N-os,OS,OMNN06AF24LEA001,BLACK - NO COLOR,1
242A28DPO000001-001CQ-os,OS,DEREMI,CUOIO/NEUTRO,1
242357NSV000009-CHE-6,6,1135092,CHESTNUT,1
242357NSV000009-CHE-7,7,1135092,CHESTNUT,2
242357NSV000009-CHE-9,9,1135092,CHESTNUT,5
242845NFL000001-BLK-37,37,F1003 N61,BLACK,1
242441ABS000009-90BE-os,OS,PM0001FA A1X19M,BEIGE,4
242671DAB000036-943-34,34,F9758,LEOPARD,1
242418ABS000015-ZO723-os,OS,SHMP0111U0P6483,BLACK/STEPPE,3
242312NSV000005-MA03-39,39,80D2480020,WHISKY/OFF WHITE,2
242146FBS000001-999-os,OS,5G000 01 M4432,BLACK,3
242671DJE000010-006-27,27,J1642,WASHED BLACK/BLACK,2
242671DJE000008-567-27,27,J1639,MID BLUE VINTAGE,2
242632DTO000015-BLACK-s,S,AW24 180TA B,BLACK,2
242632DGN000012-BLACK-xs,XS,AW24 074SK B,BLACK,2
